ref;title;author;lastRunTime;totalVotes;competition;domain;dataDependency;codeDependency;awareness;modularity;configurableOptions;scalability;readability;performance;duplicateCodeElimination;total
bextuychiev/no-bs-guide-to-hyperparameter-tuning-with-optuna;no-bs-guide-to-hyperparameter-tuning-with-optuna;bextuychiev;1500;35;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
caicell/fun-python-eda-step-by-step;fun-python-eda-step-by-step;caicell;700;30;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kartushovdanil/mlops-how-to-be-rock-of-ml;mlops-how-to-be-rock-of-ml;kartushovdanil;900;25;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
zikazika/ensamble-methods-on-regression;ensamble-methods-on-regression;zikazika;1000;20;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nextbigwhat/eda-for-categorical-variables-a-beginner-s-way;eda-for-categorical-variables-a-beginner-s-way;nextbigwhat;600;10;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
yassineghouzam/eda-introduction-to-ensemble-regression;eda-introduction-to-ensemble-regression;yassineghouzam;1100;1500;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
meikegw/filling-up-missing-values;filling-up-missing-values;meikegw;350;1480;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
darrylljk/predict-housing-prices;predict-housing-prices;darrylljk;750;1460;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
abdullahdahabre23/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;abdullahdahabre23;1250;1440;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pelkoja/visual-xgboost-tuning-with-caret;visual-xgboost-tuning-with-caret;pelkoja;950;1420;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
computervisi/eda-house-prices;eda-house-prices;computervisi;850;1400;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
firstbloody/an-uncomplicated-model-top-2-or-top-1;an-uncomplicated-model-top-2-or-top-1;firstbloody;2500;1380;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ohseokkim/linear-nonlinear-scaling;linear-nonlinear-scaling;ohseokkim;550;1360;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mehmetisik/house-price-prediction;house-price-prediction;mehmetisik;850;1340;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kdsharma/predicting-house-price-90-accuracy;predicting-house-price-90-accuracy;kdsharma;1050;1320;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rohan1506/optimizing-pandas-like-a-pro;optimizing-pandas-like-a-pro;rohan1506;450;1310;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
data13/predicting-house-prices-with-linear-regression;predicting-house-prices-with-linear-regression;data13;650;1300;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
shashwatwork/guide-to-statistical-hypothesis-tests-in-python;guide-to-statistical-hypothesis-tests-in-python;shashwatwork;550;1280;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
abonaplata/analisis-exploratorio-de-datos-con-python;analisis-exploratorio-de-datos-con-python;abonaplata;950;1260;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rohan1506/pandas-tips-tricks-tutorial;pandas-tips-tricks-tutorial;rohan1506;350;1250;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
amrelsayyad/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;amrelsayyad;1150;1240;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
desalegngeb/bokeh-visualization-library-guide-for-beginners;bokeh-visualization-library-guide-for-beginners;desalegngeb;650;1220;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vipin20/house-prices-eda-feature-engineering;house-prices-eda-feature-engineering;vipin20;1350;1200;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mysarahmadbhat/types-of-transformations-for-better-distribution;types-of-transformations-for-better-distribution;mysarahmadbhat;450;1190;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
mysarahmadbhat/python-from-zero-to;python-from-zero-to;mysarahmadbhat;250;1185;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
kongnyooong/house-price-tutorial-for-korean-beginners;house-price-tutorial-for-korean-beginners;kongnyooong;950;1180;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jimthompson/regularized-linear-models-in-r;regularized-linear-models-in-r;jimthompson;750;1160;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
joshuahiller/comprehensive-data-exploration-with-python;comprehensive-data-exploration-with-python;joshuahiller;1050;1140;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
eliotbarr/stacking-starter;stacking-starter;eliotbarr;850;1120;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
markmedhat/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;markmedhat;1250;1100;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rajmehra03/python-for-dsa-interviews;python-for-dsa-interviews;rajmehra03;450;1080;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
chocozzz/beginner-challenge-house-prices;beginner-challenge-house-prices;chocozzz;650;1060;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nadzmiagthomas/pytorch-regression;pytorch-regression;nadzmiagthomas;950;1040;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
brendan45774/house-predict-solution;house-predict-solution;brendan45774;550;1020;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
maheshnanavare/housing-prices2-xgboost-gridsearch;housing-prices2-xgboost-gridsearch;maheshnanavare;1450;1000;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vikumsw/house-prices-solution-beginner;house-prices-solution-beginner;vikumsw;850;980;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ekrembayar/house-price-prediction-lgbm-lb-24;house-price-prediction-lgbm-lb-24;ekrembayar;1150;960;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
adnanzaidi/basic-tutorial-exploratory-data-analysis;basic-tutorial-exploratory-data-analysis;adnanzaidi;750;940;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
limyenwee/stacked-ensemble-models-top-3-on-leaderboard;stacked-ensemble-models-top-3-on-leaderboard;limyenwee;2250;920;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kabure/houseprices-pipeline-featuretools-tpot;houseprices-pipeline-featuretools-tpot;kabure;1850;900;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
suvroo/wrapper-feature-selection-and-pca;wrapper-feature-selection-and-pca;suvroo;950;880;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
faressayah/xgboost-vs-lightgbm-vs-catboost-vs-adaboost;xgboost-vs-lightgbm-vs-catboost-vs-adaboost;faressayah;1350;860;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
dmkravtsov/3-2-house-prices;3-2-house-prices;dmkravtsov;450;840;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vikumsw/guide-for-comprehensive-data-exploration-in-python;guide-for-comprehensive-data-exploration-in-python;vikumsw;1050;820;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
plasticgrammer/house-prices-prediction-playground;house-prices-prediction-playground;plasticgrammer;750;800;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jimthompson/boruta-feature-importance-analysis;boruta-feature-importance-analysis;jimthompson;950;780;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
sandipan001/hitting-top-10-as-a-beginner;hitting-top-10-as-a-beginner;sandipan001;1250;760;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
niketanmoon/house-prices-prediction-part-2-with-fe;house-prices-prediction-part-2-with-fe;niketanmoon;1550;740;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pavansanagapati/tensorboard-visualisation-of-fashion-mnist;tensorboard-visualisation-of-fashion-mnist;pavansanagapati;1150;720;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
chasek123/starter-notebook-building-a-model-in-kaggle;starter-notebook-building-a-model-in-kaggle;chasek123;550;700;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
sisharaneranjana/house-price-prediction-advanced-analysis;house-price-prediction-advanced-analysis;sisharaneranjana;1350;680;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mandypham/house-prices-prediction;house-prices-prediction;mandypham;850;660;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hemingwei/top-2-from-laurenstc-on-house-price-prediction;top-2-from-laurenstc-on-house-price-prediction;hemingwei;2350;640;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
meeratif/housing-price-prediction-randomforest-and-eda;housing-price-prediction-randomforest-and-eda;meeratif;1050;620;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zwartfreak/easiest-price-prediction-full-explanation;easiest-price-prediction-full-explanation;zwartfreak;750;600;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
dejavu23/house-prices-plotly-pipelines-and-ensembles;house-prices-plotly-pipelines-and-ensembles;dejavu23;1450;580;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
marweni/house-prices-complete-solution-with-guidance;house-prices-complete-solution-with-guidance;marweni;1750;560;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ahmedmahmoud16/house-prices-regression;house-prices-regression;ahmedmahmoud16;950;540;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
akhileshthite/house-prices-solution-for-beginners;house-prices-solution-for-beginners;akhileshthite;850;520;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jamiexujiu/house-prediction;house-prediction;jamiexujiu;650;500;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
aniruddhachakraborty/lasso-gbm-xgboost-top-20-0-12039-using-r;lasso-gbm-xgboost-top-20-0-12039-using-r;aniruddhachakraborty;1650;480;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
iamsouravbanerjee/unveiling-the-secrets-of-house-prices;unveiling-the-secrets-of-house-prices;iamsouravbanerjee;1250;460;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
xiefei/feature-engineering-for-house-prices;feature-engineering-for-house-prices;xiefei;1050;440;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ohseokkim/house-price-simple-but-not-simpler;house-price-simple-but-not-simpler;ohseokkim;750;420;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
walzer55/house-prices;house-prices;walzer55;550;400;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jolasa/blending-high-scores-top-1-8th-place;blending-high-scores-top-1-8th-place;jolasa;2850;380;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ahmedgaitani/top-3-advanced-house-prices-with-gboost;top-3-advanced-house-prices-with-gboost;ahmedgaitani;2150;360;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zabihullah18/canada-capita-income-prediction-94;canada-capita-income-prediction-94;zabihullah18;450;340;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
srivignesh/data-preprocessing-for-house-price-prediction;data-preprocessing-for-house-price-prediction;srivignesh;950;320;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
abdelrahman16/preidiction-house-price;preidiction-house-price;abdelrahman16;750;300;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
faressayah/predicting-houses-prices-using-anns;predicting-houses-prices-using-anns;faressayah;1150;280;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
axelderomblay/running-mlbox-auto-ml-package-on-house-prices;running-mlbox-auto-ml-package-on-house-prices;axelderomblay;1450;260;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
adnanzaidi/learn-house-prices-prediction-using-keras;learn-house-prices-prediction-using-keras;adnanzaidi;1050;240;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nareshbhat/data-visualization-in-just-one-line-of-code;data-visualization-in-just-one-line-of-code;nareshbhat;350;220;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
captcalculator/imputing-missing-data-with-the-mice-package-in-r;imputing-missing-data-with-the-mice-package-in-r;captcalculator;850;200;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zoupet/xgboost-ridge-lasso;xgboost-ridge-lasso;zoupet;950;180;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gaganmaahi224/seaborn-tutorial-17-plots;seaborn-tutorial-17-plots;gaganmaahi224;650;160;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
ishivinal/machine-learning-model-evaluation-metrics;machine-learning-model-evaluation-metrics;ishivinal;550;140;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
nobodymartin/practice-with-visualization-eda-xgb-in-ds;practice-with-visualization-eda-xgb-in-ds;nobodymartin;1250;120;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
avikumart/regression-end-to-end-project-xgb-rf-ridge-kmeans;regression-end-to-end-project-xgb-rf-ridge-kmeans;avikumart;1550;100;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
carlmcbrideellis/recursive-feature-elimination-rfe-example;recursive-feature-elimination-rfe-example;carlmcbrideellis;750;80;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
devvret/automl-tables-tutorial-notebook;automl-tables-tutorial-notebook;devvret;1050;60;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
katotaka/prediction-house-prices-eda;prediction-house-prices-eda;katotaka;950;40;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
orhankaramancode/ensemble-stacked-regressors-top-3-91-acc;ensemble-stacked-regressors-top-3-91-acc;orhankaramancode;2450;20;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
javohirtoshqorgonov/house-price-prediction-eda-analysis;house-price-prediction-eda-analysis;javohirtoshqorgonov;1150;0;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hadeux/simple-regressor-baseline;simple-regressor-baseline;hadeux;450;1490;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
muhammadimran112233/a-regression-tutorial-for-beginners;a-regression-tutorial-for-beginners;muhammadimran112233;750;1470;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pythonkumar/houseprice-solution-easiest-way-90-accuracy;houseprice-solution-easiest-way-90-accuracy;pythonkumar;950;1450;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
burakergene/predict-house-prices-with-using-randomforest;predict-house-prices-with-using-randomforest;burakergene;850;1430;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gunesevitan/house-prices-advanced-stacking-tutorial;house-prices-advanced-stacking-tutorial;gunesevitan;1650;1410;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
alicanpayasli/90-r2-score-ensemble-model-feature-selection-eng;90-r2-score-ensemble-model-feature-selection-eng;alicanpayasli;1950;1390;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gaganmaahi224/everything-you-need-to-know-in-plotly;everything-you-need-to-know-in-plotly;gaganmaahi224;750;1370;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
swimmingwhale/xgboost-house-prices;xgboost-house-prices;swimmingwhale;650;1350;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jimmyyeung/house-regression-beginner-catboost-top-2;house-regression-beginner-catboost-top-2;jimmyyeung;1250;1330;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mehrdadsadeghi/house-price-advanced-regression-techniques;house-price-advanced-regression-techniques;mehrdadsadeghi;1150;1310;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
satishgunjal/advanced-reg-techniques-linear-models-top-6;advanced-reg-techniques-linear-models-top-6;satishgunjal;1450;1290;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
dumanmesut/house-prices-prediction-cat-lgbm-xgb;house-prices-prediction-cat-lgbm-xgb;dumanmesut;1350;1270;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zhukovoleksiy/house-prices-detailed-top-5-solution;house-prices-detailed-top-5-solution;zhukovoleksiy;2050;1250;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vshantam/house-prices-prediction;house-prices-prediction;vshantam;850;1230;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/lasso-regression-with-pipelines-tutorial;lasso-regression-with-pipelines-tutorial;bextuychiev;750;1210;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lucabasa/understand-and-use-a-pipeline;understand-and-use-a-pipeline;lucabasa;650;1190;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ayberkural/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;ayberkural;1250;1170;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ashfakyeafi/data-exploration-with-python;data-exploration-with-python;ashfakyeafi;950;1150;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
venkatapadavala/house-prices-advanced-regression-practice;house-prices-advanced-regression-practice;venkatapadavala;1150;1130;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
limmyoungjin/r-t1-4-expected-questions-2;r-t1-4-expected-questions-2;limmyoungjin;85;1110;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
ahmedmohameddawoud/house-price-prediction-complete-beginner-guide;house-price-prediction-complete-beginner-guide;ahmedmohameddawoud;1050;1090;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
qq853108389/python;python;qq853108389;50;1070;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
xirudieyi/house-prices;house-prices;xirudieyi;450;1050;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hobeomlee/prediction-stacked-regressions;prediction-stacked-regressions;hobeomlee;1350;1030;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
khashayarrahimi94/automated-problem-solver-house-price;automated-problem-solver-house-price;khashayarrahimi94;1650;1010;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
suprematism/ml-house-prices-top-7-encoding-techniques;ml-house-prices-top-7-encoding-techniques;suprematism;1550;990;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
sidharth178/top-5-house-price-prediction;top-5-house-price-prediction;sidharth178;1850;970;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
syedmuhmmadzain/house-price-prediction-ipynb;house-price-prediction-ipynb;syedmuhmmadzain;950;950;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kalelpark/useful-visualization;useful-visualization;kalelpark;550;930;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
foolofatook/tutorial-plotly-for-data-analysis;tutorial-plotly-for-data-analysis;foolofatook;750;910;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
leeclemmer/exploratory-data-analysis-of-housing-in-ames-iowa;exploratory-data-analysis-of-housing-in-ames-iowa;leeclemmer;1050;890;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
josephchan524/housepricesregressor-using-lightgbm;housepricesregressor-using-lightgbm;josephchan524;850;870;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pratsiuk/valueerror-unknown-label-type-continuous;valueerror-unknown-label-type-continuous;pratsiuk;350;850;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
rushikeshdane20/plotly-tutorial-how-to-make-plotly-visuals-better;plotly-tutorial-how-to-make-plotly-visuals-better;rushikeshdane20;650;830;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
alicanpayasli/first-try-top-30-feature-selection;first-try-top-30-feature-selection;alicanpayasli;1250;810;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
redaabdou/house-prices-solution-data-cleaning-ml;house-prices-solution-data-cleaning-ml;redaabdou;1450;790;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gaganmaahi224/4-auto-eda-and-3-auto-ml-libraries;4-auto-eda-and-3-auto-ml-libraries;gaganmaahi224;950;770;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
pralabhpoudel/house-price-prediction-regression-models-and-dl;house-price-prediction-regression-models-and-dl;pralabhpoudel;1350;750;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
stefanschulmeister87/price-prediction-with-model-stacking-tensorflow;price-prediction-with-model-stacking-tensorflow;stefanschulmeister87;1750;730;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
goldens/house-prices-on-the-top-with-simple-model;house-prices-on-the-top-with-simple-model;goldens;1050;710;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gallo33henrique/house-price-ml-regression-lgbm;house-price-ml-regression-lgbm;gallo33henrique;950;690;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
harvindarjunrai/predicting-house-prices-v1;predicting-house-prices-v1;harvindarjunrai;750;670;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
xiefei/02-house;02-house;xiefei;250;650;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/25-numpy-functions-you-never-knew-existed;25-numpy-functions-you-never-knew-existed;bextuychiev;350;630;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
bakar31/eda-house-price-prediction;eda-house-price-prediction;bakar31;1150;610;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lavanyashukla01/picking-the-best-model-a-whirlwind-tour-of-model;picking-the-best-model-a-whirlwind-tour-of-model;lavanyashukla01;850;590;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
zeeshanyounas001/house-price-predictions;house-price-predictions;zeeshanyounas001;750;570;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bravo03/predicting-house-prices-with-logistic-regression;predicting-house-prices-with-logistic-regression;bravo03;650;550;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ruthgn/house-prices-top-8-featengineering-xgb-optuna;house-prices-top-8-featengineering-xgb-optuna;ruthgn;1950;530;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
fatihyavuzz/house-price-prediction-advanced-regression;house-price-prediction-advanced-regression;fatihyavuzz;1350;510;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/20-burning-xgboost-faqs-answered-to-use-like-a-pro;20-burning-xgboost-faqs-answered-to-use-like-a-pro;bextuychiev;950;490;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
leeyj0511/model-evaluation-1-classification-metrics;model-evaluation-1-classification-metrics;leeyj0511;550;470;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
krutarthhd/houseprices-data-exploration-and-prediction;houseprices-data-exploration-and-prediction;krutarthhd;1250;450;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
santibermejo/xgboost-for-house-price-prediction;xgboost-for-house-price-prediction;santibermejo;850;430;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mikhailsukhanov55/house-prices-data-cleaning-feature-engineering;house-prices-data-cleaning-feature-engineering;mikhailsukhanov55;1550;410;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/write-powerful-code-w-custom-sklearn-transformers;write-powerful-code-w-custom-sklearn-transformers;bextuychiev;750;390;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
felipefiorini/xgboost-hyper-parameter-tuning;xgboost-hyper-parameter-tuning;felipefiorini;1450;370;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jankoch/scikit-learn-pipelines-and-pandas;scikit-learn-pipelines-and-pandas;jankoch;650;350;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
abdelrahmantarek13/houseprice-step-by-step;houseprice-step-by-step;abdelrahmantarek13;1050;330;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gaganmaahi224/cutevizz-seaborn-self-written-code;cutevizz-seaborn-self-written-code;gaganmaahi224;550;310;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
kevinmorgado/house-prices-cleaning-and-eda;house-prices-cleaning-and-eda;kevinmorgado;1150;290;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rushikeshdane20/build-recommendation-system-app-with-streamlit;build-recommendation-system-app-with-streamlit;rushikeshdane20;950;270;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
johnwill225/extensive-exploratory-data-analysis;extensive-exploratory-data-analysis;johnwill225;1350;250;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
harinuu/house-price-prediction-using-randomforest;house-price-prediction-using-randomforest;harinuu;850;230;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
akouaorsot/house-price-prediction;house-price-prediction;akouaorsot;750;210;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
harshkothari21/beginners-notebook-all-ml-models-eda;beginners-notebook-all-ml-models-eda;harshkothari21;1250;190;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
getanmolgupta01/regression-model;regression-model;getanmolgupta01;650;170;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
anushreek15/house-price-prediction;house-price-prediction;anushreek15;850;150;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hoangphamviet/house-price-stacked-regression-top-3;house-price-stacked-regression-top-3;hoangphamviet;2250;130;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rushikeshdarge/handle-missing-values-only-notebook-you-need;handle-missing-values-only-notebook-you-need;rushikeshdarge;550;110;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
anuragbantu/stacking-ensemble-learning-beginner-s-guide;stacking-ensemble-learning-beginner-s-guide;anuragbantu;1050;90;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
aishwaryapalit/house-price-prediction-for-beginners;house-price-prediction-for-beginners;aishwaryapalit;950;70;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kritidoneria/automl-beginner-housing-prices-using-pycaret;automl-beginner-housing-prices-using-pycaret;kritidoneria;1150;50;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hossamahmedsalah/house-pricing-regression;house-pricing-regression;hossamahmedsalah;850;30;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
izammohammed/all-ml-algos;all-ml-algos;izammohammed;1350;10;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
chazzer/ml-grandmaster-decision-tree-regressor;ml-grandmaster-decision-tree-regressor;chazzer;750;1485;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
rajmehra03/a-complete-guide-to-numpy;a-complete-guide-to-numpy;rajmehra03;450;1465;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
abrahamanderson/house-price-competition-advanced-regression;house-price-competition-advanced-regression;abrahamanderson;1250;1445;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hansjoerg/glmnet-xgboost-and-svm-using-tidymodels;glmnet-xgboost-and-svm-using-tidymodels;hansjoerg;1550;1425;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
seanchen607/house-prices-ensemble-7models;house-prices-ensemble-7models;seanchen607;1850;1405;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mjidiba/a-beginner-s-guide-to-his-first-kaggle-project;a-beginner-s-guide-to-his-first-kaggle-project;mjidiba;950;1385;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
serdarsozturk/house-price-analysis;house-price-analysis;serdarsozturk;1050;1365;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
noussaons/linear-regression;linear-regression;noussaons;550;1345;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
patrycjawalicka/r-house-prices-decision-tree-random-forest-pca;r-house-prices-decision-tree-random-forest-pca;patrycjawalicka;1150;1325;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
youngseoklee/house-price-prediction-with-numeric-only-dataset;house-price-prediction-with-numeric-only-dataset;youngseoklee;850;1305;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
